 ##ID  ETA_SEQ     ETA_VAL         ETA_SE          OMEGA_SD     ETA_SE/OMEGA_SD
    1    1       -0.565146        0.034701        0.292546        0.034701
    2    1        0.039084        0.034743        0.292546        0.034743
    3    1        0.320131        0.034157        0.292546        0.034157
    4    1        0.606093        0.033472        0.292546        0.033472
    5    1        0.391736        0.034467        0.292546        0.034467
    6    1       -0.012816        0.033915        0.292546        0.033915
    7    1       -0.062651        0.034625        0.292546        0.034625
    8    1       -0.331556        0.034758        0.292546        0.034758
    9    1       -0.262548        0.034552        0.292546        0.034552
   10    1        0.240582        0.036279        0.292546        0.036279
   11    1       -0.127295        0.034452        0.292546        0.034452
   12    1        0.426032        0.038391        0.292546        0.038391
   13    1       -0.428751        0.036366        0.292546        0.036366
   14    1       -0.074661        0.034439        0.292546        0.034439
   15    1       -0.171180        0.034792        0.292546        0.034792
   16    1       -0.056036        0.034682        0.292546        0.034682
   17    1        0.238057        0.038400        0.292546        0.038400
   18    1       -0.134082        0.034618        0.292546        0.034618
   19    1        0.124949        0.036036        0.292546        0.036036
   20    1        0.250655        0.038562        0.292546        0.038562
   21    1       -0.278547        0.034654        0.292546        0.034654
   22    1        0.354148        0.034704        0.292546        0.034704
   23    1       -0.054993        0.034569        0.292546        0.034569
   24    1        0.312201        0.034647        0.292546        0.034647
      0.03097519  !etamean
      0.29141568  !eta_std_dev
      0.05948498  !eta_mean_std_err
      0.52072289  !|etamean|/eta_mean_std_err
      0.00386258  !shrinkage = 1 - eta_std_dev/omegasd
    1    2       -0.415961        0.044520        0.337356        0.044520
    2    2        0.339415        0.037715        0.337356        0.037715
    3    2       -0.177123        0.092592        0.337356        0.092592
    4    2       -0.214317        0.128232        0.337356        0.128232
    5    2        0.148504        0.069918        0.337356        0.069918
    6    2       -0.645935        0.106714        0.337356        0.106714
    7    2       -0.086551        0.054313        0.337356        0.054313
    8    2        0.046425        0.034831        0.337356        0.034831
    9    2       -0.400952        0.062006        0.337356        0.062006
   10    2        0.279062        0.064965        0.337356        0.064965
   11    2       -0.386437        0.071193        0.337356        0.071193
   12    2       -0.007499        0.088333        0.337356        0.088333
   13    2       -0.280106        0.057128        0.337356        0.057128
   14    2       -0.346951        0.072261        0.337356        0.072261
   15    2        0.607594        0.025994        0.337356        0.025994
   16    2        0.042976        0.047136        0.337356        0.047136
   17    2        0.320142        0.081567        0.337356        0.081567
   18    2       -0.169229        0.055025        0.337356        0.055025
   19    2       -0.410686        0.097609        0.337356        0.097609
   20    2        0.257578        0.052655        0.337356        0.052655
   21    2       -0.244025        0.050764        0.337356        0.050764
   22    2        0.514199        0.043977        0.337356        0.043977
   23    2       -0.169310        0.060306        0.337356        0.060306
   24    2        0.331249        0.051679        0.337356        0.051679
     -0.04449746  !etamean
      0.32617102  !eta_std_dev
      0.06657938  !eta_mean_std_err
      0.66833692  !|etamean|/eta_mean_std_err
      0.03315386  !shrinkage = 1 - eta_std_dev/omegasd
