 ##ID  ETA_SEQ     ETA_VAL         ETA_SE          OMEGA_SD     ETA_SE/OMEGA_SD
    1    1       -0.267747        0.025688        0.128791        0.025688
    2    1       -0.004993        0.030193        0.128791        0.030193
    3    1        0.030240        0.029382        0.128791        0.029382
    4    1       -0.057715        0.030638        0.128791        0.030638
    5    1        0.082726        0.027561        0.128791        0.027561
    6    1        0.077574        0.037159        0.128791        0.037159
    7    1        0.119601        0.035324        0.128791        0.035324
    8    1        0.070458        0.033419        0.128791        0.033419
    9    1       -0.193659        0.029042        0.128791        0.029042
   10    1       -0.034249        0.029099        0.128791        0.029099
   11    1        0.200977        0.030691        0.128791        0.030691
   12    1       -0.023310        0.028950        0.128791        0.028950
     -0.00000812  !etamean
      0.12506681  !eta_std_dev
      0.03610368  !eta_mean_std_err
      0.00022503  !|etamean|/eta_mean_std_err
      0.02891316  !shrinkage = 1 - eta_std_dev/omegasd
    1    2       -0.694970        0.055977        0.300448        0.055977
    2    2        0.020719        0.060794        0.300448        0.060794
    3    2        0.022936        0.060782        0.300448        0.060782
    4    2       -0.127301        0.059781        0.300448        0.059781
    5    2        0.222381        0.053317        0.300448        0.053317
    6    2        0.165802        0.071415        0.300448        0.071415
    7    2        0.275864        0.064502        0.300448        0.064502
    8    2        0.152289        0.063915        0.300448        0.063915
    9    2       -0.400917        0.067168        0.300448        0.067168
   10    2       -0.090973        0.053800        0.300448        0.053800
   11    2        0.439212        0.064127        0.300448        0.064127
   12    2        0.014738        0.053982        0.300448        0.053982
     -0.00001828  !etamean
      0.29418178  !eta_std_dev
      0.08492297  !eta_mean_std_err
      0.00021528  !|etamean|/eta_mean_std_err
      0.02085673  !shrinkage = 1 - eta_std_dev/omegasd
    1    3        0.035820        0.120021        0.823366        0.120021
    2    3        0.377701        0.139527        0.823366        0.139527
    3    3        0.540488        0.151439        0.823366        0.151439
    4    3       -0.380896        0.116424        0.823366        0.116424
    5    3       -0.079640        0.106805        0.823366        0.106805
    6    3       -0.459495        0.154559        0.823366        0.154559
    7    3       -0.985466        0.128916        0.823366        0.128916
    8    3       -0.277724        0.136564        0.823366        0.136564
    9    3        1.807112        0.281036        0.823366        0.281036
   10    3       -1.023051        0.092519        0.823366        0.092519
   11    3        1.172448        0.173240        0.823366        0.173240
   12    3       -0.576473        0.107599        0.823366        0.107599
      0.01256872  !etamean
      0.80953933  !eta_std_dev
      0.23369388  !eta_mean_std_err
      0.05378283  !|etamean|/eta_mean_std_err
      0.01679299  !shrinkage = 1 - eta_std_dev/omegasd
